file_path,label
train/sunflower/7935826214_9b57628203_m.jpg,3
train/tulip/6905876618_12732b74de_b.jpg,4
train/dandelion/9613826015_f345354874.jpg,1
train/dandelion/33875742534_31b85d1b05_n.jpg,1
train/sunflower/6866250080_ae80df0cd5_m.jpg,3
train/sunflower/6050020905_881295ac72_n.jpg,3
train/daisy/4413849849_b8d2f3bcf1_n.jpg,0
train/tulip/16677199221_eab3f22378_n.jpg,4
train/tulip/8708209606_d3aede4801.jpg,4
train/dandelion/8880158802_6e10a452c7_m.jpg,1
train/tulip/4209052442_7e754f617c_n.jpg,4
train/rose/8644003462_2272de26eb.jpg,2
train/rose/28131227642_e279b5768b_n.jpg,2
train/tulip/19914611213_150f7125a9_n.jpg,4
train/daisy/34613530216_26cf037012_n.jpg,0
train/daisy/4482623536_b9fb5ae41f_n.jpg,0
train/dandelion/19067907051_16d530c7d2.jpg,1
train/dandelion/2476098674_e6f39536f5_n.jpg,1
train/rose/2960709681_e95940c0f0_n.jpg,2
train/dandelion/2540640433_dedd577263.jpg,1
train/dandelion/8989067485_aab399460b_n.jpg,1
train/dandelion/7243174412_d3628e4cc4_m.jpg,1
train/tulip/20495079414_44c6783519_n.jpg,4
train/sunflower/3766264038_ea701c7131_n.jpg,3
train/daisy/5981645737_29eceac291_m.jpg,0
train/tulip/20929606590_f92d4e59b7_n.jpg,4
train/sunflower/15030133005_9728102622_z.jpg,3
train/sunflower/14266917699_91b207888e.jpg,3
train/daisy/5973488341_50bdf6cee3_n.jpg,0
train/daisy/10993818044_4c19b86c82.jpg,0
train/rose/5148639829_781eb7d346.jpg,2
train/daisy/8718637649_87a0d85190_n.jpg,0
train/tulip/14025589299_eac64c51af_m.jpg,4
train/tulip/13974542496_e4b5d1c913_n.jpg,4
train/tulip/13542672763_20c3cb9272.jpg,4
train/dandelion/151861297_55b10a03a6_n.jpg,1
train/sunflower/4271193206_666ef60aa0_m.jpg,3
train/sunflower/1596293240_2d5b53495a_m.jpg,3
train/tulip/3524204544_7233737b4f_m.jpg,4
