id,image_id,prediction_list
1,frame_0.jpg,[]
2,frame_1.jpg,[]
3,frame_2.jpg,[]
4,frame_3.jpg,[]
5,frame_4.jpg,[]
6,frame_5.jpg,[]
7,frame_6.jpg,[]
8,frame_7.jpg,[]
9,frame_8.jpg,[]
10,frame_9.jpg,[]
11,frame_10.jpg,[]
12,frame_11.jpg,[]
13,frame_12.jpg,[]
14,frame_13.jpg,[]
15,frame_14.jpg,[]
16,frame_15.jpg,[]
17,frame_16.jpg,[]
18,frame_17.jpg,[]
19,frame_18.jpg,[]
20,frame_19.jpg,[]
21,frame_20.jpg,[]
22,frame_21.jpg,[]
23,frame_22.jpg,[]
24,frame_23.jpg,[]
25,frame_24.jpg,[]
26,frame_25.jpg,[]
27,frame_26.jpg,[]
28,frame_27.jpg,[]
29,frame_28.jpg,[]
30,frame_29.jpg,[]
31,frame_30.jpg,[]
32,frame_31.jpg,[]
33,frame_32.jpg,[]
34,frame_33.jpg,[]
35,frame_34.jpg,[]
36,frame_35.jpg,[]
37,frame_36.jpg,[]
38,frame_37.jpg,[]
39,frame_38.jpg,[]
40,frame_39.jpg,[]
41,frame_40.jpg,[]
42,frame_41.jpg,[]
43,frame_42.jpg,[]
44,frame_43.jpg,[]
45,frame_44.jpg,[]
46,frame_45.jpg,[]
47,frame_46.jpg,[]
48,frame_47.jpg,[]
49,frame_48.jpg,[]
50,frame_49.jpg,[]
51,frame_50.jpg,[]
52,frame_51.jpg,[]
53,frame_52.jpg,[]
54,frame_53.jpg,[]
55,frame_54.jpg,[]
56,frame_55.jpg,[]
57,frame_56.jpg,[]
58,frame_57.jpg,[]
59,frame_58.jpg,[]
60,frame_59.jpg,[]
61,frame_60.jpg,[]
62,frame_61.jpg,[]
63,frame_62.jpg,[]
64,frame_63.jpg,[]
65,frame_64.jpg,[]
66,frame_65.jpg,[]
67,frame_66.jpg,[]
68,frame_67.jpg,[]
69,frame_68.jpg,[]
70,frame_69.jpg,[]
71,frame_70.jpg,[]
72,frame_71.jpg,[]
73,frame_72.jpg,[]
74,frame_73.jpg,[]
75,frame_74.jpg,[]
76,frame_75.jpg,[]
77,frame_76.jpg,[]
78,frame_77.jpg,[]
79,frame_78.jpg,[]
80,frame_79.jpg,[]
81,frame_80.jpg,[]
82,frame_81.jpg,[]
83,frame_82.jpg,[]
84,frame_83.jpg,[]
85,frame_84.jpg,"[['person',0.8212786316871643,928,201,1231,937],['person',0.8085848689079285,528,304,751,829],['person',0.8009950518608093,699,266,986,947],['person',0.7996160984039307,1161,295,1389,836]]"
86,frame_85.jpg,"[['person',0.8182210326194763,923,227,1237,980],['person',0.8100180625915527,532,308,749,821],['person',0.8096582889556885,703,245,981,953],['person',0.794715166091919,1164,303,1384,831]]"
87,frame_86.jpg,"[['person',0.8184191584587097,922,227,1238,980],['person',0.8098834753036499,703,245,982,953],['person',0.8088503479957581,531,306,750,825],['person',0.7937227487564087,1163,301,1385,834]]"
88,frame_87.jpg,"[['person',0.8235657215118408,923,236,1237,971],['person',0.8167485594749451,694,259,993,955],['person',0.8068017363548279,530,309,750,831],['person',0.7880150079727173,1164,297,1385,836]]"
89,frame_88.jpg,"[['person',0.8311771750450134,919,240,1241,968],['person',0.8230714797973633,693,255,996,958],['person',0.8049854636192322,530,309,750,835],['person',0.775183916091919,1173,320,1391,783]]"
90,frame_89.jpg,"[['person',0.8207289576530457,926,201,1234,942],['person',0.8184943795204163,691,253,994,960],['person',0.8046509623527527,531,307,747,835],['person',0.7819305658340454,1151,290,1390,840]]"
91,frame_90.jpg,"[['person',0.8213799595832825,926,201,1234,941],['person',0.8199661374092102,692,258,994,957],['person',0.804750919342041,532,307,746,835],['person',0.7815271615982056,1150,288,1391,843]]"
92,frame_91.jpg,"[['person',0.8072594404220581,926,237,1231,968],['person',0.7927137613296509,524,302,764,825],['person',0.7887260317802429,695,253,992,953],['person',0.7203809022903442,1114,233,1431,900]]"
93,frame_92.jpg,[]
94,frame_93.jpg,"[['person',0.816683828830719,921,239,1242,968],['person',0.8069332242012024,530,312,747,829],['person',0.8036937117576599,690,254,994,957],['person',0.7729886174201965,1154,294,1390,848]]"
95,frame_94.jpg,"[['person',0.8164733648300171,921,239,1242,968],['person',0.8074710369110107,530,313,747,828],['person',0.8040961623191833,691,255,994,957],['person',0.7729256749153137,1154,294,1389,848]]"
96,frame_95.jpg,"[['person',0.8167977929115295,920,240,1242,967],['person',0.8057138919830322,530,313,748,829],['person',0.8036350607872009,689,256,995,955],['person',0.7742765545845032,1154,294,1390,848]]"
97,frame_96.jpg,"[['person',0.8144937753677368,924,238,1241,969],['person',0.809666097164154,691,258,997,954],['person',0.796788215637207,532,308,749,835],['person',0.7814406156539917,1154,291,1391,850]]"
98,frame_97.jpg,"[['person',0.816119372844696,931,201,1233,941],['person',0.8060055375099182,693,257,996,955],['person',0.8040905594825745,531,311,749,832],['person',0.7861445546150208,1160,298,1388,836]]"
99,frame_98.jpg,"[['person',0.8160733580589294,931,201,1233,941],['person',0.8058812618255615,693,257,996,955],['person',0.8040619492530823,531,311,749,832],['person',0.7860549688339233,1160,297,1388,836]]"
100,frame_99.jpg,"[['person',0.8176504373550415,933,198,1233,943],['person',0.8073014616966248,691,254,998,957],['person',0.8017624020576477,534,310,749,828],['person',0.7952138781547546,1156,294,1388,833]]"
101,frame_100.jpg,"[['person',0.8093125820159912,932,244,1235,961],['person',0.8071874976158142,713,253,1045,963],['person',0.7775641679763794,536,303,751,840],['person',0.7650901675224304,1130,312,1408,902]]"
102,frame_101.jpg,[]
103,frame_102.jpg,[]
104,frame_103.jpg,[]
105,frame_104.jpg,[]
106,frame_105.jpg,[]
107,frame_106.jpg,[]
108,frame_107.jpg,[]
109,frame_108.jpg,[]
110,frame_109.jpg,[]
111,frame_110.jpg,[]
112,frame_111.jpg,[]
113,frame_112.jpg,[]
114,frame_113.jpg,[]
115,frame_114.jpg,[]
116,frame_115.jpg,[]
117,frame_116.jpg,[]
118,frame_117.jpg,[]
119,frame_118.jpg,[]
120,frame_119.jpg,[]
